PidLidCurrentVersionName,0x00008554,PtypString,0x001f,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidDayInterval,0x00000011,PtypInteger16,0x0002,PSETID_Meeting,6ED8DA90-450B-101B-98DA-00AA003F1305
PidLidDayOfMonth,0x00001000,PtypBoolean,0x000b,PSETID_Common,00062008-0000-0000-C000-000000000046
PidLidDelegateMail,0x00000009,PTypBoolean,0x000b,PSETID_Meeting,6ED8DA90-450B-101B-98DA-00AA003F1305
PidLidDepartment,0x00008010,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidDirectory,0x00008242,PtypString,0x001f,PSETID_Appointment,00062002-0000-0000-C000-000000000046
PidLidDistributionListChecksum,0x0000804c,PtypInteger32,0x0003,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidDistributionListMembers,0x00008055,PtypMultipleBinary,0x1102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidDistributionListName,0x00008053,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidDistributionListOneOffMembers,0x00008054,PtypMultipleBinary,0x1102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidDistributionListStream,0x00008064,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail1AddressType,0x00008082,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail1DisplayName,0x00008080,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail1EmailAddress,0x00008083,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail1EmailType,0x00008087,PtypString,0x001F,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail1EntryId,0x00008081,PtypBinary,0x0102,PSETID_Address,00062004-0000-0000-C000-000000000046
PidLidEmail1OriginalDisplayName,0x00008084,PtypString,0x001f,PSETID_Address,00062004-0000-0000-C000-000000000046
